store_id,comp_price,income,advertising,population,price,shelf_loc,age,education,urban,us,high_sales
137,96,94,14,384,120,Medium,36,18,No,Yes,0
138,131,75,0,10,120,Bad,31,18,No,No,0
139,128,42,0,436,118,Medium,80,11,Yes,No,0
140,125,103,12,371,109,Medium,44,10,Yes,Yes,1
141,146,62,10,310,94,Medium,30,13,No,Yes,1
142,133,60,10,277,129,Medium,45,18,Yes,Yes,0
143,140,42,0,331,131,Bad,28,15,Yes,No,0
144,124,84,0,300,104,Medium,77,15,Yes,No,0
145,122,88,7,36,159,Bad,28,17,Yes,Yes,0
146,132,68,0,264,123,Good,34,11,No,No,1
147,144,63,11,27,117,Medium,47,17,Yes,Yes,1
148,114,83,0,412,131,Bad,39,14,Yes,No,0
149,140,54,9,402,119,Good,41,16,No,Yes,1
150,110,119,0,384,97,Medium,72,14,No,Yes,0
150,110,119,0,384,97,Medium,72,14,No,Yes,0
151,121,120,13,140,87,Medium,56,11,Yes,Yes,1
152,122,84,8,176,114,Good,57,10,No,Yes,1
153,111,58,17,407,103,Good,75,17,No,Yes,1
154,128,78,0,341,128,Good,45,13,No,No,0
155,150,36,7,488,150,Medium,25,17,No,Yes,0
156,129,69,10,289,110,Medium,50,16,No,Yes,0
157,98,72,0,59,69,Medium,65,16,Yes,No,0
158,146,34,0,220,157,Good,51,16,Yes,No,0
159,121,58,8,249,90,Medium,48,13,No,Yes,1
160,142,90,1,189,112,Good,39,10,No,Yes,1
161,119,60,0,372,70,Bad,30,18,No,No,1
162,111,28,0,486,111,Medium,29,12,No,No,0
163,143,21,5,81,160,Medium,67,12,No,Yes,0
164,122,74,0,424,149,Medium,51,13,Yes,No,0
165,130,64,0,40,106,Bad,39,17,No,No,0
166,148,64,0,58,141,Medium,27,13,No,Yes,1
167,147,58,7,100,191,Bad,27,15,Yes,Yes,0
168,119,67,17,151,137,Medium,55,11,Yes,Yes,0
169,106,73,0,216,93,Medium,60,13,Yes,No,0
170,129,89,0,425,117,Medium,45,10,Yes,No,0
171,104,41,15,492,77,Good,73,18,Yes,Yes,1
172,128,39,12,356,118,Medium,71,10,Yes,Yes,1
173,93,106,12,416,55,Medium,75,15,Yes,Yes,1
174,104,102,13,123,110,Good,35,16,Yes,Yes,1
175,135,91,5,207,128,Medium,66,18,Yes,Yes,0
176,139,24,0,358,185,Medium,79,15,No,No,0
177,115,89,0,38,122,Medium,25,12,Yes,No,0
178,138,107,9,480,154,Medium,47,11,No,Yes,0
179,138,72,0,148,94,Medium,27,17,Yes,Yes,1
180,104,71,14,89,81,Medium,25,14,No,Yes,1
181,144,25,3,70,116,Medium,77,18,Yes,Yes,0
182,137,112,15,434,149,Bad,66,13,Yes,Yes,0
183,121,83,0,79,91,Medium,68,11,Yes,No,0
184,137,60,4,230,140,Bad,25,13,Yes,No,0
185,118,74,6,426,102,Medium,80,18,Yes,Yes,0
186,132,33,7,35,97,Medium,60,11,No,Yes,1
187,130,100,11,449,107,Medium,64,10,Yes,Yes,1
188,120,51,0,93,86,Medium,46,17,No,No,1
189,117,32,0,142,96,Bad,62,17,Yes,No,0
190,116,37,0,426,90,Medium,76,15,Yes,No,1
191,118,117,18,509,104,Medium,26,15,No,Yes,1
192,130,37,13,297,101,Medium,37,13,No,Yes,1
193,156,42,13,170,173,Good,74,14,Yes,Yes,0
194,108,26,0,408,93,Medium,56,14,No,No,0
195,139,70,7,71,96,Good,61,10,Yes,Yes,1
196,112,98,18,481,128,Medium,45,11,Yes,Yes,0
197,117,93,4,420,112,Bad,66,11,Yes,Yes,0
198,130,28,6,410,133,Bad,72,16,Yes,Yes,0
199,124,61,0,333,138,Medium,76,16,Yes,No,0
200,112,80,5,500,128,Medium,69,10,Yes,Yes,0
201,122,88,5,335,126,Medium,64,14,Yes,Yes,0
202,144,92,0,349,146,Medium,62,12,No,No,0
203,138,83,0,139,134,Medium,54,18,Yes,No,0
204,121,78,4,413,130,Bad,46,10,No,Yes,0
205,131,82,0,132,157,Bad,25,14,Yes,No,0
206,155,80,0,237,124,Medium,37,14,Yes,No,1
207,113,22,1,317,132,Medium,28,12,Yes,No,0
208,162,67,0,27,160,Medium,77,17,Yes,Yes,0
209,111,105,0,466,97,Bad,,10,No,No,1
210,86,54,0,497,64,Bad,33,12,Yes,No,0
211,98,21,11,326,90,Bad,76,11,No,Yes,0
212,125,41,2,357,123,Bad,47,14,No,Yes,0
213,117,118,14,445,120,Medium,32,15,Yes,Yes,1
214,145,69,19,501,105,Medium,45,11,Yes,Yes,1
215,149,84,5,220,139,Medium,33,10,Yes,Yes,1
216,115,115,3,48,107,Medium,73,18,Yes,Yes,0
217,116,83,15,170,144,Bad,71,11,Yes,Yes,0
218,141,33,0,243,144,Medium,34,17,Yes,No,0
219,106,44,0,481,111,Medium,70,14,No,No,0
220,138,61,12,156,120,Medium,25,14,Yes,Yes,1
221,116,79,19,359,116,Good,58,17,Yes,Yes,1
222,131,120,15,262,124,Medium,30,10,Yes,Yes,1
223,124,44,0,125,107,Medium,80,11,Yes,No,0
224,136,119,6,178,145,Medium,35,13,Yes,Yes,0
225,,,,,,Bad,,,,Yes,
226,110,45,9,276,125,Medium,62,14,Yes,Yes,0
227,134,82,0,464,141,Medium,48,13,No,No,0
228,107,25,0,412,82,Bad,36,14,Yes,No,0
229,119,33,0,245,122,Good,56,14,Yes,No,0
230,113,64,10,68,101,Medium,57,16,Yes,Yes,1
231,149,73,13,381,163,Bad,26,11,No,Yes,0
232,98,104,0,404,72,Medium,27,18,No,No,1
233,115,60,0,119,114,Bad,38,14,No,No,0
234,132,69,0,123,122,Medium,27,11,No,No,1
235,137,80,10,24,105,Good,61,15,Yes,Yes,1
236,123,76,18,218,120,Medium,29,14,No,Yes,1
237,115,62,11,289,129,Good,56,16,No,Yes,1
238,126,32,8,95,132,Medium,50,17,Yes,Yes,0
239,141,34,16,361,108,Medium,69,10,Yes,Yes,1
240,151,28,8,499,135,Medium,48,10,Yes,Yes,1
241,121,24,0,200,133,Good,73,13,Yes,No,0
242,123,105,0,149,118,Bad,62,16,Yes,Yes,0
243,159,80,0,362,121,Medium,26,18,Yes,No,1
244,136,63,0,160,94,Medium,38,12,Yes,No,1
245,124,46,0,199,135,Medium,52,14,No,No,0
246,124,25,13,87,110,Medium,57,10,Yes,Yes,0
247,130,30,0,391,100,Medium,26,18,Yes,No,1
248,114,43,0,199,88,Good,57,10,No,Yes,1
249,120,56,20,266,90,Bad,78,18,Yes,Yes,0
250,123,114,0,298,151,Bad,34,16,Yes,No,0
251,111,52,0,12,101,Medium,61,11,Yes,Yes,0
252,125,67,0,86,117,Bad,65,11,Yes,No,0
253,137,105,10,435,156,Good,72,14,Yes,Yes,1
254,139,111,5,310,132,Bad,62,13,Yes,Yes,0
255,133,97,0,70,117,Medium,32,16,Yes,No,1
256,124,24,5,288,122,Medium,57,12,No,Yes,0
257,108,104,23,353,129,Good,37,17,Yes,Yes,1
258,123,81,8,198,81,Bad,80,15,Yes,Yes,0
259,147,40,0,277,144,Medium,73,10,Yes,No,0
260,125,62,14,477,112,Medium,80,13,Yes,Yes,1
261,108,38,0,251,81,Bad,72,14,No,No,0
262,123,36,10,467,100,Bad,74,11,No,Yes,0
263,129,117,8,400,101,Bad,36,10,Yes,Yes,0
264,121,42,4,188,118,Medium,54,15,Yes,Yes,0
265,120,77,15,86,132,Medium,48,18,Yes,Yes,0
266,116,26,6,434,115,Medium,25,17,Yes,Yes,0
267,128,29,5,324,159,Good,31,15,Yes,Yes,0
268,130,35,10,402,129,Bad,39,17,Yes,Yes,0
269,128,93,12,343,112,Good,73,17,No,Yes,1
270,134,82,7,473,112,Bad,51,12,No,Yes,0
271,123,57,0,66,105,Medium,39,11,Yes,No,0
272,159,69,0,438,166,Medium,46,17,Yes,No,0
273,119,26,0,284,89,Good,26,10,Yes,No,1
274,111,56,0,504,110,Medium,62,16,Yes,No,0
275,113,33,0,14,63,Good,38,12,Yes,No,1
276,116,106,8,244,86,Medium,58,12,Yes,Yes,1
277,135,93,2,67,119,Medium,34,11,Yes,Yes,0
278,107,119,11,210,132,Medium,53,11,Yes,Yes,0
279,135,69,14,296,130,Medium,73,15,Yes,Yes,0
280,136,48,12,326,125,Medium,36,16,Yes,Yes,0
281,114,113,2,129,151,Good,40,15,No,Yes,0
282,141,57,13,376,158,Medium,64,18,Yes,Yes,0
283,121,86,10,496,145,Bad,51,10,Yes,Yes,0
284,122,69,7,303,105,Good,45,16,No,Yes,1
285,150,96,0,80,154,Good,61,11,Yes,No,0
286,135,110,0,112,117,Medium,80,16,No,No,0
287,106,46,11,414,96,Bad,79,17,No,No,0
288,146,26,11,261,131,Medium,39,10,Yes,Yes,0
289,117,118,11,429,113,Medium,67,18,No,Yes,0
290,95,44,4,208,72,Bad,44,17,Yes,Yes,0
291,116,40,0,74,97,Medium,76,15,No,No,0
292,143,77,25,448,156,Medium,43,17,Yes,Yes,1
293,107,111,14,400,103,Medium,41,11,No,Yes,1
294,118,70,0,106,89,Bad,39,17,Yes,No,0
295,113,66,16,322,74,Good,76,15,Yes,Yes,1
296,123,84,0,74,89,Good,59,10,Yes,No,1
297,148,76,3,126,99,Good,60,11,Yes,Yes,1
298,118,35,14,502,137,Medium,79,10,No,Yes,0
299,127,44,13,160,123,Good,63,18,Yes,Yes,1
300,118,83,13,276,104,Bad,75,10,Yes,Yes,0
301,148,63,0,312,130,Good,63,15,Yes,No,1
302,135,40,17,497,96,Medium,54,17,No,Yes,1
303,116,78,1,158,99,Medium,45,11,Yes,Yes,1
304,99,93,0,198,87,Medium,57,16,Yes,Yes,0
305,108,77,13,388,110,Bad,74,14,Yes,Yes,0
306,133,52,16,290,99,Medium,43,11,Yes,Yes,1
307,123,98,12,408,134,Good,29,10,Yes,Yes,1
308,115,29,26,394,132,Medium,33,13,Yes,Yes,1
309,131,32,1,85,133,Medium,48,12,Yes,Yes,0
310,138,92,0,13,120,Bad,61,12,Yes,No,0
311,126,80,19,436,126,Medium,52,10,Yes,Yes,1
312,131,111,13,33,80,Bad,68,18,Yes,Yes,1
313,175,65,29,419,166,Medium,53,12,Yes,Yes,1
314,146,68,12,328,132,Bad,51,14,Yes,Yes,0
315,137,117,5,337,135,Bad,38,10,Yes,Yes,0
316,103,81,3,491,54,Medium,66,13,Yes,No,1
317,133,33,10,333,129,Good,71,14,Yes,Yes,0
318,131,21,8,220,171,Good,29,14,Yes,Yes,0
319,122,36,5,369,72,Good,35,10,Yes,Yes,1
320,142,30,0,472,136,Good,80,15,No,No,0
321,116,72,10,456,130,Good,41,14,No,Yes,1
322,127,45,19,459,129,Medium,57,11,No,Yes,0
323,136,70,12,171,152,Medium,44,18,Yes,Yes,0
324,123,39,5,499,98,Medium,34,15,Yes,No,0
325,140,50,10,300,139,Good,60,15,Yes,Yes,1
326,107,105,18,428,103,Medium,34,12,Yes,Yes,1
327,136,65,4,133,150,Bad,53,13,Yes,Yes,0
328,144,69,11,131,104,Medium,47,11,Yes,Yes,1
328,144,69,11,131,104,Medium,47,11,Yes,Yes,1
329,133,30,0,152,122,Medium,53,17,Yes,No,0
330,112,38,17,316,104,Medium,80,16,Yes,Yes,0
331,117,66,1,65,111,Bad,55,11,Yes,Yes,0
332,100,54,9,433,89,Good,45,12,Yes,Yes,1
333,122,59,0,501,112,Bad,32,14,No,No,0
334,135,63,15,213,134,Medium,32,10,Yes,Yes,1
335,106,33,20,354,104,Medium,61,12,Yes,Yes,0
336,136,60,7,303,147,Medium,41,10,Yes,Yes,0
337,93,117,9,489,83,Bad,42,13,Yes,Yes,0
338,120,70,15,464,110,Medium,72,15,Yes,Yes,0
339,138,35,6,60,143,Bad,28,18,Yes,No,0
340,130,38,0,283,102,Medium,80,15,Yes,No,1
341,112,24,0,164,101,Medium,45,11,Yes,No,0
342,134,44,4,219,126,Good,44,15,Yes,Yes,1
343,140,29,0,105,91,Bad,43,16,Yes,No,0
344,98,120,0,268,93,Medium,72,10,No,No,0
345,137,102,13,422,118,Medium,71,10,No,Yes,0
346,117,42,10,371,121,Bad,26,14,Yes,Yes,0
347,138,80,0,108,126,Good,70,13,No,Yes,1
348,121,68,0,279,149,Good,79,12,Yes,No,0
349,132,107,0,144,125,Medium,33,13,No,No,1
350,96,39,0,161,112,Good,27,14,No,No,0
351,132,102,20,459,107,Good,49,11,Yes,Yes,1
352,134,27,18,467,96,Medium,49,14,No,Yes,1
353,111,101,17,266,91,Medium,63,17,No,Yes,1
354,124,115,16,458,105,Medium,62,16,No,Yes,1
355,133,103,14,288,122,Good,61,17,Yes,Yes,1
356,107,67,12,430,92,Medium,35,12,No,Yes,1
357,133,31,1,80,145,Medium,42,18,Yes,Yes,0
358,130,100,0,306,146,Good,42,11,Yes,No,0
359,142,109,0,111,164,Good,72,12,Yes,No,0
360,103,73,3,276,72,Medium,34,15,Yes,Yes,1
361,123,96,10,71,118,Bad,69,11,Yes,Yes,0
362,130,62,11,396,130,Bad,66,14,Yes,Yes,0
363,118,86,7,265,114,Good,52,15,No,Yes,1
364,131,25,10,183,104,Medium,56,15,No,Yes,1
365,131,55,0,26,110,Bad,79,12,Yes,Yes,0
366,111,75,1,377,108,Good,25,12,Yes,No,1
367,122,21,16,488,131,Good,30,14,Yes,Yes,1
368,154,30,0,122,162,Medium,57,17,No,No,0
369,124,56,11,447,134,Medium,53,12,No,Yes,0
370,95,106,0,256,53,Good,52,17,Yes,No,1
371,109,22,10,348,79,Good,74,14,No,Yes,1
372,135,100,22,463,122,Medium,36,14,Yes,Yes,1
373,126,41,22,403,119,Bad,42,12,Yes,Yes,0
374,152,81,0,191,126,Medium,54,16,Yes,No,1
375,121,50,0,508,98,Medium,65,11,No,No,0
376,137,71,0,402,116,Medium,78,17,Yes,No,0
377,131,47,7,90,118,Medium,47,12,Yes,Yes,1
378,132,46,4,206,124,Medium,73,11,Yes,No,0
379,141,60,19,319,92,Good,44,11,Yes,Yes,1
380,132,61,0,263,125,Medium,41,12,No,No,0
381,133,88,3,105,119,Medium,79,12,Yes,Yes,0
382,125,111,0,404,107,Bad,54,15,Yes,No,0
383,106,64,10,17,89,Medium,68,17,Yes,Yes,1
384,124,65,21,496,151,Bad,77,13,Yes,Yes,0
385,121,28,19,315,121,Medium,66,14,Yes,Yes,0
386,98,117,0,76,68,Medium,63,10,Yes,No,1
387,123,37,15,348,112,Good,28,12,Yes,Yes,1
388,131,73,13,455,132,Medium,62,17,Yes,Yes,0
389,152,116,0,170,160,Medium,39,16,Yes,No,0
390,142,73,14,238,115,Medium,73,14,No,Yes,1
391,135,89,11,245,78,Bad,79,16,Yes,Yes,1
392,128,42,8,328,107,Medium,35,12,Yes,Yes,1
393,108,75,9,61,111,Medium,67,12,Yes,Yes,0
394,153,63,0,49,124,Bad,56,16,Yes,No,0
395,129,42,13,315,130,Bad,34,13,Yes,Yes,0
396,109,51,10,26,120,Medium,30,17,No,Yes,0
397,130,58,19,366,139,Bad,33,16,Yes,Yes,0
398,138,108,17,203,128,Good,33,14,Yes,Yes,1
399,139,23,3,37,120,Medium,55,11,No,Yes,0
400,162,26,12,368,159,Medium,40,18,Yes,Yes,0
401,100,79,7,284,95,Bad,50,12,Yes,Yes,0
402,134,37,0,27,120,Good,49,16,Yes,Yes,1
